,Nom,Adresse,Dernier contact,Type,Espérance concrétisation,Département,Ajouté
0,  SERGE MAS PROMOTION ,30 ALLEE JEAN JAURES - 31000 TOULOUSE,2020-01-17,Client,0.07,31,False
1,  PARADIS VERT ,66 rue Carnot - 69150 Décines-Charpieu,2020-01-21,Client,0.96,69,True
2,Agence d’architecture  Philippe Rubio Architectes ,73 Allée Sacha Guitry - 34070 Montpellier,2020-01-29,Client,0.37,34,False
3,SARL  AKADOM ,55 avenue Louis Bréguet – Bâtiment HERMES – BAL 24 - 31400 TOULOUSE,2020-01-24,Client,0.34,31,False
4,SAS  BETCE ,7 rue Guglielmo Marconi - 31400 Toulouse,2020-01-16,Client,0.8,31,True
5,  PIKAIA ,367 avenue du grand arietaz - 73000 Chambery,2020-01-21,Client,0.07,73,True
6,  ALBIN PUMP , 6 Avenue du Meyrol - 26200 Montélimar,2020-01-21,Client,0.97,26,True
7,Cabinet  DBA CONSEIL ,52 Rue de Marclan  - 31600 MURET,2020-01-25,Client,0.4,31,True
8,  BRENGUES LE PAVEC Architectes ,26 Allée Jules Milhau - 34000 Montpellier,2020-01-20,Client,0.03,34,True
9,  AMBEE ,1 rue Etienne Radix - 69630 Chaponost,2020-01-17,Client,0.1,69,False
10,  AA GROUP VALENCE ,81 rue du pont du Gat - 26000 Valence,2020-01-16,Client,0.83,26,False
11,  R ET R CONSULTING ,12 rue des Potiers - 31320 Vieille Toulouse,2020-01-21,Client,0.99,31,False
12,Agence d’architecture  OH!SOM ARCHITECTES  ,10 Rue Saint-Jacques - 13006  Marseille ,2020-01-30,Client,0.6,13,False
13,Bureau d'étude  ALTEABOIS ,99 Impasse des Coteaux  - 34730  Prades-le-Lez,2020-01-19,Client,0.15,34,True
14,  SIVOM SAGE ,45 Chemin des Carreaux   - 31120 Roques sur Garonne,2020-01-19,Client,0.2,31,False
15,Agence d’architecture  DWA Architectes ,10 Boulevard Yves Farge  - 69007  Lyon,2020-01-30,Client,0.46,69,True
16,Agence d’architecture  AGENCE D'ARCHITECTURE FILIATRE-MANSOUR  ,37 Rue Riquet - 31000  Toulouse ,2020-01-16,Client,0.94,31,False
17,Agence d’architecture  Thorel et associés  ,6 Chemin de Brunet - 13100  Aix-en-Provence ,2020-01-30,Client,0.97,13,True
18,  Bpi France ,24 avenue Georges Pompidou BP63379 - 31133 BALMA,2020-01-17,Client,0.6,31,True
19,Bureau d'étude  Bureau d'Etudes Techniques Mouton (BETM) ,97 Rue Grieg - 30900  Nîmes ,2020-01-19,Client,0.72,30,False
20,Bureau d'étude  Gapira Ingénierie  ,125 Rue de l'Hostellerie - 30900  Nîmes ,2020-01-27,Client,0.15,30,True
21,Agence d’architecture  Atelier 4 + ,84 rue Borde - 13008 Marseille,2020-01-23,Client,0.25,13,True
22,M. Jacques Delarocque ,2 rue Pasteur - 12000 Rodez,2020-01-20,Client,0.36,12,False
23,  ROTARY CLUB LAMASQUERE PAYS DE MURET ,113 boulevard de Lamasquère - 31600 MURET,2020-01-26,Client,0.28,31,True
24,  EDEIS ,Parc Club Bat 7   78 chemin des sept deniers CS 1A0405 - 31204 Toulouse,2020-01-28,Client,0.96,31,True
25,M. Stéphane Bruneton ,La Lauragaise Route de Baziège - 31670 Labège,2020-01-17,Client,0.31,31,False
26,Mme Karine Severac ,Maison des professions libérales  285 rue Alfred Nobel - 34000 Montpellier,2020-01-20,Client,0.26,34,False
27,SA  Mazeres Aero Equipment ,2 avenue Clement Ader BP40162 - 31774 Colomiers,2020-01-30,Client,0.3,31,False
28,SARL  Relais d'entreprises ,10 Rue de la Tour de Guet   - 31310 Rieux Volvestre,2020-01-27,Client,0.12,31,False
