,Nom,Adresse,Latitude,Longitude,Cluster
0,  IMBERNON ,280 bdv Michelet  - 13008 Marseille,43.261708,5.3962455,0
1,Bureau d'étude  CEC WRD  ,Bureaupole bat A 2 Av. Elsa Triolet - 13008  Marseille ,43.2500868,5.3858109,0
2,Bureau d'étude  TECHNOV  ,80 Boulevard de la Comtesse - 13012  Marseille ,43.3163749,5.447475099999999,0
3,Bureau d'étude  SECOBAT SUD  ,8 Boulevard Vincent Delpuech - 13008  Marseille ,43.2830934,5.3878407,0
4,Agence d’architecture  BUREAU-ARCHIT-MEDITER SARL ARCHITECTURE (B A M)  ,14-18 Rue de la Guirlande - 13002  Marseille ,43.2969833,5.3703505,0
5,Agence d’architecture  CARTA ARCHITECTES  ,193 Rue de Rome - 13006  Marseille ,43.2874205,5.383096900000001,0
6,Agence d’architecture  CORINNE VEZZONI ET ASSOCIES  ,263 Corniche Président John Fitzgerald Kennedy - 13007  Marseille ,43.2809815,5.3525985,0
7,Agence d’architecture  MOA ARCHITECTURE  ,83 Rue d'Endoume - 13007  Marseille ,43.2872797,5.365129799999999,0
8,Agence d’architecture  UNIC Architecture - Adrien Champsaur Architecture et associés  ,51 Rue du Coq - 13001  Marseille ,43.301237799999996,5.3860851,0
9,Agence d’architecture  DEPOIZIER-CREST ARCHITECTES ET ASSOCIES  ,30 boulevard de la Libération - 13001  Marseille ,43.29965809999999,5.387345499999999,0
10,Agence d’architecture  Agence Jerome Siame Architectes  ,1297 Ancienne Route des Alpes - 13100  Aix-en-Provence ,43.553960100000005,5.458271900000001,0
11,Agence d’architecture  POISSONNIER FERRAN & ASSOCIES ,9 rue Mazenod - 13002  Marseille,43.3017123,5.365296099999999,0
12,Agence d’architecture  RUE BLEUE ARCHITECTURE ,31 avenue pasteur - 13007 Marseille,43.2903568,5.359426699999998,0
13,Bureau d'étude  SOL.A.I.R ,47 Boulevard de la République - 13100  Aix-en-Provence ,43.52874179999999,5.440338300000001,0
14,Bureau d'étude  Strada Ingénierie ,4 Place Coimbra - 13090  Aix-en-Provence,43.5253026,5.4373565,0
15,Agence d’architecture  MAP Marseille Architecture Partenaires ,4 Place Sadi Carnot - 13002 Marseille,43.299630799999996,5.3719953999999985,0
16,Bureau d'étude  AD2i  ,70 Rue de la tramontane - 13090  Aix-en-Provence ,43.52738360000001,5.406085900000001,0
17,Agence d’architecture  Quadrarchi ,810 Chemin de Saint-Jean de Malte - 13080  Aix-en-Provence ,43.504600399999994,5.4128136,0
18,Agence d’architecture  C.F.L Architecture ,17 Avenue du Colonel Schuler - 13100  Aix-en-Provence,43.5137274,5.4404579,0
19,Agence d’architecture  Thorel et associés  ,6 Chemin de Brunet - 13100  Aix-en-Provence ,43.5343657,5.4366515,0
20,Bureau d'étude  CONCEPTION ET INGENIERIE DU BATIMENT (CIB)  ,146 Rue Rabelais - 13016  Marseille ,43.3597283,5.331931299999999,0
21,Bureau d'étude  CHORUS INGENIERIE  ,217 Rue de Rome - 13006  Marseille ,43.28660730000001,5.383570400000001,0
22,Agence d’architecture  OH!SOM ARCHITECTES  ,10 Rue Saint-Jacques - 13006  Marseille ,43.2893295,5.380929600000001,0
23,Bureau d'étude  CONSEIL INGENIERIE ACOUSTIQUE (CIA)  ,263 avenue de St-Antoine - 13015  Marseille ,43.3759972,5.355785900000001,0
24,  MP2018 ,40 rue de la république - 13001 Marseille,43.2990361,5.3722892999999985,0
25,Bureau d'étude  I2C  ,1217 Route Enco de Botte - 13190  Allauch ,43.32349860000001,5.478431,0
26,  AI project ,9 Avenue de la Capelette - 13010  Marseille,43.2836929,5.3992483,0
